t v n o
2.3299999 -62.31226 0.00055814441 2.3094812e-05
2.3399999 -62.303699 0.00055918033 2.3188935e-05
2.3499999 -62.295185 0.00056021276 2.3283194e-05
2.3599999 -62.286709 0.0005612417 2.3377583e-05
2.3699999 -62.278278 0.0005622672 2.3472106e-05
2.3800001 -62.26989 0.00056328921 2.3566759e-05
2.3900001 -62.261539 0.00056430785 2.3661545e-05
2.4000001 -62.253231 0.00056532305 2.375646e-05
2.4100001 -62.244965 0.00056633487 2.3851504e-05
2.4200001 -62.23674 0.00056734332 2.3946679e-05
2.4300001 -62.22855 0.00056834839 2.4041979e-05
2.4400001 -62.220402 0.00056935014 2.4137409e-05
2.45 -62.212292 0.00057034864 2.4232966e-05
2.46 -62.204224 0.00057134376 2.432865e-05
2.47 -62.19619 0.00057233567 2.4424458e-05
2.48 -62.18819 0.00057332433 2.4520394e-05
2.49 -62.180233 0.00057430979 2.4616453e-05
2.5 -62.17231 0.00057529204 2.4712635e-05
2.51 -62.164425 0.00057627109 2.4808942e-05
2.52 -62.156574 0.000577247 2.4905372e-05
2.53 -62.148762 0.00057821983 2.5001924e-05
2.54 -62.14098 0.00057918951 2.5098598e-05
2.55 -62.133236 0.00058015616 2.5195393e-05
2.5599999 -62.125526 0.00058111973 2.5292309e-05
2.5699999 -62.117847 0.00058208028 2.5389345e-05
2.5799999 -62.110207 0.00058303785 2.5486501e-05
2.5899999 -62.102596 0.00058399246 2.5583775e-05
2.5999999 -62.09502 0.00058494409 2.5681167e-05
2.6099999 -62.087475 0.00058589282 2.577868e-05
2.6199999 -62.079964 0.00058683864 2.5876308e-05
2.6300001 -62.072483 0.0005877816 2.5974054e-05
2.6400001 -62.065033 0.00058872171 2.6071915e-05
2.6500001 -62.057617 0.00058965903 2.6169893e-05
2.6600001 -62.050232 0.0005905935 2.6267988e-05
2.6700001 -62.042873 0.00059152528 2.6366195e-05
2.6800001 -62.035549 0.00059245428 2.6464519e-05
2.6900001 -62.028252 0.00059338054 2.6562955e-05
2.7 -62.020985 0.00059430412 2.6661506e-05
2.71 -62.013748 0.00059522502 2.6760168e-05
2.72 -62.006542 0.00059614331 2.6858945e-05
2.73 -61.999363 0.00059705897 2.6957832e-05
2.74 -61.99221 0.00059797207 2.7056833e-05
2.75 -61.985088 0.00059888256 2.7155944e-05
2.76 -61.977993 0.00059979054 2.7255164e-05
2.77 -61.970924 0.00060069602 2.7354496e-05
2.78 -61.963882 0.00060159893 2.7453938e-05
2.79 -61.956871 0.00060249947 2.7553488e-05
2.8 -61.949883 0.00060339749 2.7653148e-05
2.8099999 -61.942921 0.00060429313 2.7752916e-05
2.8199999 -61.935986 0.00060518639 2.7852791e-05
2.8299999 -61.929077 0.00060607726 2.7952776e-05
2.8399999 -61.922195 0.0006069658 2.8052867e-05
2.8499999 -61.915337 0.00060785201 2.8153065e-05
2.8599999 -61.908501 0.00060873595 2.8253369e-05
2.8699999 -61.901695 0.00060961756 2.8353779e-05
2.8800001 -61.894909 0.00061049697 2.8454295e-05
2.8900001 -61.888149 0.0006113741 2.8554916e-05
2.9000001 -61.881413 0.00061224907 2.8655641e-05
2.9100001 -61.874702 0.00061312184 2.8756471e-05
2.9200001 -61.868011 0.00061399245 2.8857405e-05
2.9300001 -61.861347 0.00061486091 2.8958442e-05
2.9400001 -61.854706 0.00061572727 2.9059584e-05
2.95 -61.848083 0.00061659154 2.9160827e-05
2.96 -61.841488 0.00061745377 2.9262173e-05
2.97 -61.834911 0.0006183139 2.936362e-05
2.98 -61.828358 0.00061917206 2.9465171e-05
2.99 -61.821827 0.00062002818 2.9566821e-05
3 -61.815319 0.00062088232 2.9668574e-05
3.01 -61.80883 0.00062173454 2.9770428e-05
3.02 -61.802361 0.00062258478 2.9872381e-05
3.03 -61.795914 0.00062343309 2.9974433e-05
3.04 -61.78949 0.00062427955 3.0076588e-05
3.05 -61.783085 0.00062512414 3.0178839e-05
3.0599999 -61.776699 0.00062596682 3.028119e-05
3.0699999 -61.770332 0.00062680768 3.038364e-05
3.0799999 -61.763988 0.0006276468 3.0486188e-05
3.0899999 -61.75766 0.00062848406 3.0588835e-05
3.0999999 -61.751354 0.00062931958 3.0691579e-05
3.1099999 -61.745068 0.00063015328 3.0794421e-05
3.1199999 -61.7388 0.00063098531 3.0897358e-05
3.1300001 -61.732548 0.00063181564 3.1000392e-05
3.1400001 -61.726318 0.00063264428 3.1103526e-05
3.1500001 -61.720104 0.00063347118 3.120675e-05
3.1600001 -61.713913 0.00063429651 3.1310075e-05
3.1700001 -61.707733 0.00063512014 3.1413492e-05
3.1800001 -61.701576 0.00063594221 3.1517007e-05
3.1900001 -61.695435 0.00063676265 3.1620617e-05
3.2 -61.689312 0.00063758157 3.1724321e-05
3.21 -61.683205 0.00063839887 3.1828116e-05
3.22 -61.677116 0.00063921465 3.193201e-05
3.23 -61.671043 0.00064002897 3.2035998e-05
3.24 -61.664986 0.00064084172 3.2140077e-05
3.25 -61.658947 0.00064165302 3.224425e-05
3.26 -61.652924 0.00064246287 3.2348515e-05
3.27 -61.646915 0.00064327125 3.2452874e-05
3.28 -61.640926 0.00064407819 3.2557324e-05
3.29 -61.634953 0.00064488378 3.2661868e-05
3.3 -61.62899 0.00064568792 3.2766504e-05
3.3099999 -61.623047 0.00064649072 3.287123e-05
3.3199999 -61.617119 0.00064729218 3.2976048e-05
3.3299999 -61.611206 0.00064809225 3.3080956e-05
3.3399999 -61.605305 0.00064889109 3.3185959e-05
3.3499999 -61.599422 0.00064968853 3.3291049e-05
3.3599999 -61.593552 0.00065048476 3.3396231e-05
3.3699999 -61.587696 0.0006512797 3.3501503e-05
3.3800001 -61.581856 0.00065207342 3.3606866e-05
3.3900001 -61.576027 0.00065286586 3.371232e-05
3.4000001 -61.570217 0.00065365713 3.3817862e-05
3.4100001 -61.564415 0.00065444718 3.3923494e-05
3.4200001 -61.558632 0.00065523607 3.4029214e-05
3.4300001 -61.55286 0.00065602374 3.4135024e-05
3.4400001 -61.5471 0.0006568103 3.4240922e-05
3.45 -61.541355 0.00065759575 3.4346907e-05
3.46 -61.535622 0.0006583801 3.4452984e-05
3.47 -61.529903 0.00065916328 3.4559147e-05
3.48 -61.524197 0.00065994548 3.4665398e-05
3.49 -61.518501 0.00066072657 3.4771736e-05
3.5 -61.512821 0.00066150661 3.4878165e-05
3.51 -61.507149 0.0006622856 3.4984678e-05
3.52 -61.501492 0.00066306361 3.5091278e-05
3.53 -61.495846 0.00066384056 3.5197969e-05
3.54 -61.490211 0.00066461659 3.5304744e-05
3.55 -61.484592 0.00066539162 3.5411605e-05
3.5599999 -61.478981 0.00066616572 3.5518551e-05
3.5699999 -61.473381 0.0006669389 3.5625588e-05
3.5799999 -61.467793 0.00066771114 3.5732708e-05
3.5899999 -61.462215 0.00066848245 3.5839916e-05
3.5999999 -61.45665 0.00066925288 3.5947207e-05
3.6099999 -61.451096 0.00067002245 3.6054586e-05
3.6199999 -61.445553 0.0006707912 3.6162048e-05
3.6300001 -61.440018 0.00067155907 3.6269597e-05
3.6400001 -61.434494 0.00067232613 3.6377231e-05
3.6500001 -61.428982 0.00067309238 3.6484951e-05
3.6600001 -61.423481 0.00067385781 3.6592755e-05
3.6700001 -61.417988 0.00067462248 3.6700643e-05
3.6800001 -61.412506 0.00067538634 3.6808618e-05
3.6900001 -61.407032 0.0006761495 3.6916677e-05
3.7 -61.401569 0.00067691191 3.7024816e-05
3.71 -61.396114 0.00067767361 3.7133046e-05
3.72 -61.390671 0.00067843462 3.7241356e-05
3.73 -61.385235 0.00067919487 3.734975e-05
3.74 -61.37981 0.00067995454 3.7458227e-05
3.75 -61.374393 0.00068071345 3.7566788e-05
3.76 -61.368984 0.00068147178 3.7675436e-05
3.77 -61.363586 0.00068222947 3.7784164e-05
3.78 -61.358196 0.00068298652 3.7892976e-05
3.79 -61.352814 0.00068374298 3.8001872e-05
3.8 -61.347439 0.00068449887 3.8110851e-05
3.8099999 -61.342075 0.00068525417 3.821991e-05
3.8199999 -61.336716 0.00068600889 3.8329053e-05
3.8299999 -61.331367 0.00068676309 3.8438284e-05
3.8399999 -61.326027 0.00068751676 3.8547591e-05
3.8499999 -61.320694 0.00068826991 3.8656985e-05
3.8599999 -61.315369 0.00068902259 3.8766459e-05
3.8699999 -61.310051 0.00068977475 3.8876016e-05
3.8800001 -61.304741 0.00069052645 3.8985658e-05
3.8900001 -61.299438 0.00069127767 3.9095379e-05
3.9000001 -61.29414 0.00069202849 3.9205181e-05
3.9100001 -61.288853 0.00069277885 3.9315069e-05
3.9200001 -61.283569 0.0006935288 3.9425035e-05
3.9300001 -61.278294 0.00069427834 3.9535087e-05
3.9400001 -61.273026 0.00069502753 3.964522e-05
3.95 -61.267765 0.00069577631 3.9755432e-05
3.96 -61.262512 0.00069652474 3.9865728e-05
3.97 -61.257263 0.00069727283 3.9976105e-05
3.98 -61.252018 0.00069802057 4.0086561e-05
3.99 -61.246784 0.00069876801 4.0197101e-05
4 -61.241554 0.00069951516 4.0307725e-05
4.0100002 -61.236328 0.00070026197 4.0418425e-05
4.02 -61.231113 0.00070100854 4.0529208e-05
4.0300002 -61.225899 0.00070175488 4.0640076e-05
4.04 -61.220692 0.00070250093 4.0751023e-05
4.0500002 -61.215492 0.00070324674 4.0862051e-05
4.0599999 -61.210297 0.00070399238 4.0973158e-05
4.0700002 -61.205105 0.00070473779 4.108435e-05
4.0799999 -61.199921 0.00070548296 4.1195621e-05
4.0900002 -61.19474 0.00070622802 4.1306972e-05
4.0999999 -61.189568 0.0007069729 4.1418403e-05
4.1100001 -61.184399 0.00070771761 4.1529918e-05
4.1199999 -61.179234 0.0007084622 4.1641513e-05
4.1300001 -61.174072 0.00070920668 4.1753188e-05
4.1399999 -61.168915 0.00070995104 4.1864947e-05
4.1500001 -61.163765 0.00071069528 4.1976786e-05
4.1599998 -61.158619 0.00071143947 4.2088701e-05
4.1700001 -61.153477 0.0007121836 4.2200703e-05
4.1799998 -61.148338 0.00071292766 4.2312782e-05
4.1900001 -61.143204 0.00071367167 4.2424945e-05
4.1999998 -61.138073 0.00071441568 4.2537184e-05
4.21 -61.132946 0.00071515964 4.2649506e-05
4.2199998 -61.127823 0.00071590365 4.2761912e-05
4.23 -61.122704 0.00071664766 4.2874395e-05
4.2399998 -61.117588 0.00071739167 4.2986961e-05
4.25 -61.112476 0.00071813574 4.3099604e-05
4.2600002 -61.107368 0.00071887992 4.3212334e-05
4.27 -61.102264 0.00071962411 4.3325141e-05
4.2800002 -61.09716 0.00072036841 4.3438027e-05
4.29 -61.09206 0.00072111277 4.3550997e-05
4.3000002 -61.086964 0.0007218573 4.3664048e-05
4.3099999 -61.081871 0.00072260195 4.3777178e-05
4.3200002 -61.076782 0.00072334672 4.3890392e-05
